X,Y,OBJECTID,COUNTY,DATE_STAMP,DESCRIPTION_BSL,DIRECTION_OP,DIST,DLAT_GIS,DLONG_GIS,MB_DIR,MUNICIPALITY,PLACE_NO,STOP_NUM,STOP_TYPE,STREET_DIR,ALL_LINES
470192.01418741,754621.553644404,14712,Morris,2024/09/15 00:00:00+00,N MAIN ST AT ROSS ST,Ou,0,40.90502,-74.5794,,WHARTON,,26208,FS,N,880
581658.933641579,760835.530389652,14713,Passaic,2024/09/15 00:00:00+00,WEST BROADWAY AT RYLE AVE,In,0,40.9217,-74.17599,,PATERSON,,27513,NS,S,"703, 748"
470407.737509247,754440.576972239,14714,Morris,2024/09/15 00:00:00+00,N MAIN ST AT ROSS ST,In,0,40.90463,-74.57853,,WHARTON,,26209,FS,S,880
582357.773451246,759968.925823659,14715,Passaic,2024/09/15 00:00:00+00,WEST BROADWAY AT BROADWAY,In,0,40.91933,-74.17344,,PATERSON,,27514,NS,S,"703, 744, 748"
470016.638225827,753659.744872488,14716,Morris,2024/09/15 00:00:00+00,N MAIN ST 200' S OF HARRY SHUPE BLVD,In,200,40.9024,-74.57995,S,WHARTON,,26210,MB,S,880
536430.944045246,879522.403907821,14717,Orange,2024/09/15 00:00:00+00,WARWICK PARK & RIDE,In,0,41.24785,-74.3388,,WARWICK,WARPKRD,26256,TM,S,"196, 197"
469406.249354746,753119.673117988,14718,Morris,2024/09/15 00:00:00+00,N MAIN ST AT PINE ST,In,0,40.90092,-74.58211,,WHARTON,,26211,FS,S,880
537166.901562829,880004.426893905,14719,Orange,2024/09/15 00:00:00+00,RT-17A 152' N OF HOMESTEAD VILLAGE DR,In,152,41.24917,-74.33621,N,WARWICK,,26257,MB,S,"196, 197"
469225.090924412,751701.400692075,14720,Morris,2024/09/15 00:00:00+00,S MAIN ST AT W THOMAS ST,In,0,40.89707,-74.58279,,WHARTON,,26213,NS,S,880
544052.306755245,880513.712948821,14721,Orange,2024/09/15 00:00:00+00,RT-17A AT IRON FORGE RD.,In,173,41.25051,-74.31113,N,WARWICK,,26258,MB,S,"196, 197"
469509.035566494,750379.870526738,14722,Morris,2024/09/15 00:00:00+00,S MAIN ST AT W STERLING ST,In,0,40.89342,-74.58175,,WHARTON,,26214,NS,S,880
550327.676750414,878222.421927735,14723,Orange,2024/09/15 00:00:00+00,RT-17A AT STRIPER WAY,In,0,41.24419,-74.28834,,WARWICK,,26259,FS,S,"196, 197"
469715.888171162,749598.477732569,14724,Morris,2024/09/15 00:00:00+00,MAIN ST AT HANCE ST,In,0,40.89129,-74.58101,,WHARTON,,26215,FS,S,880
544596.398842912,865468.209247239,14725,Orange,2024/09/15 00:00:00+00,RT-210 AT ROCKY TRAIL,In,0,41.20917,-74.30921,,WARWICK,,26260,FS,S,"196, 197"
545287.565439578,867170.913518988,14726,Orange,2024/09/15 00:00:00+00,RT-210 AT HEMLOCK HILL RD,Ou,0,41.21388,-74.30682,,GREENWOOD LAKE,,26217,FS,N,"196, 197"
543608.408036746,863402.67203974,14727,Orange,2024/09/15 00:00:00+00,RT-210 AT BROOK TRAIL,In,0,41.20349,-74.31284,,"WARWICK, TOWN OF",,26261,NS,S,"196, 197"
545682.703100745,868384.880251154,14728,Orange,2024/09/15 00:00:00+00,RT-210 AT CASCADE RD,Ou,0,41.21721,-74.30536,,GREENWOOD LAKE,,26218,FS,N,"196, 197"
542966.518244412,862883.024785072,14729,Orange,2024/09/15 00:00:00+00,RT-210 AT MARY CANE RD,In,0,41.20206,-74.31516,,WARWICK,,26262,NS,S,"196, 197"
546509.723756414,869800.197958574,14730,Orange,2024/09/15 00:00:00+00,RT-210 1400'N OF CASCADE RD,Ou,1400,41.22109,-74.30235,N,GREENWOOD LAKE,,26219,MB,N,"196, 197"
541283.162687246,860480.804523908,14731,Orange,2024/09/15 00:00:00+00,RT-210 AT FURNACE RD,In,0,41.19548,-74.3213,,WARWICK,,26263,FS,S,"196, 197"
548282.636221077,870543.049163155,14732,Orange,2024/09/15 00:00:00+00,GREENWOOD LAKE PARK & RIDE (JERSEY AVE),Ou,0,41.22314,-74.29582,,GREENWOOD LAKE,GRENPKRD,26220,NS,N,"196, 197"
538670.155117996,857530.187721737,14733,Orange,2024/09/15 00:00:00+00,LAKESIDE RD AT GREENWOOD LAKE TPKE,In,650,41.18745,-74.33091,N,WARWICK,,26264,MB,S,"196, 197"
549538.602213077,871443.179252654,14734,Orange,2024/09/15 00:00:00+00,RT-210 AT WALNUT ST,Ou,0,41.22559,-74.29131,,GREENWOOD LAKE,,26221,FS,N,"196, 197"
532605.378205579,880617.183542408,14735,Orange,2024/09/15 00:00:00+00,RT-17A AT OVERLOOK DR,Ou,0,41.2508,-74.35278,,"WARWICK, TOWN OF",,26266,FS,N,"196, 197"
549516.250551745,871509.477348402,14736,Orange,2024/09/15 00:00:00+00,RT-210 200'N OF WALNUT ST,In,200,41.22572,-74.29131,N,GREENWOOD LAKE,,26224,MB,S,"196, 197"
530585.134870745,882059.21379482,14737,Orange,2024/09/15 00:00:00+00,OAKLAND AVE AT ORCHARD ST,In,150,41.25481,-74.36009,S,WARWICK,WARKOAK,26267,MB,S,"196, 197"
548247.861028161,870629.002403319,14738,Orange,2024/09/15 00:00:00+00,GREENWOOD LAKE PARK & RIDE (JERSEY AVE),In,193,41.2233,-74.296,S,GREENWOOD LAKE,GRENPKRD,26225,MB,S,"196, 197"
532600.793240994,880557.358202741,14739,Orange,2024/09/15 00:00:00+00,RT-17A AT OVERLOOK DR,In,0,41.2507,-74.35279,,"WARWICK, TOWN OF",,26268,NS,S,"196, 197"
546458.849186245,869835.415079735,14740,Orange,2024/09/15 00:00:00+00,RT-210 1375'N OF CASCADE RD,In,1375,41.22116,-74.30244,N,GREENWOOD LAKE,,26226,MB,S,"196, 197"
572497.667843413,340422.060522735,14741,Ocean,2024/09/15 00:00:00+00,RT-9 AT BAYSHORE DR,Ou,0,39.76765,-74.21401,,BARNEGAT TWP,BARNGAT,26269,FS,S,559
